Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
230707,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Bangalore,Business,17.5,10,54608
140705,GO_FIRST,G8-101,Kolkata,Morning,one,Evening,Bangalore,Economy,7.83,37,11106
233086,Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Bangalore,Business,9.17,37,54608
261526,Air_India,AI-773,Kolkata,Evening,one,Morning,Delhi,Business,15.92,6,53743
227052,Air_India,AI-651,Mumbai,Morning,one,Evening,Delhi,Business,9.92,22,39610
124757,Vistara,UK-776,Kolkata,Evening,one,Morning,Delhi,Economy,15.0,33,6461
273063,Vistara,UK-706,Kolkata,Morning,one,Morning,Chennai,Business,23.67,12,55983
299119,Air_India,AI-672,Chennai,Afternoon,one,Night,Hyderabad,Business,6.67,28,40593
176975,Indigo,6E-6066,Hyderabad,Morning,one,Afternoon,Chennai,Economy,6.67,10,4453
218643,Vistara,UK-811,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Business,14.0,42,84222
118768,Air_India,AI-505,Bangalore,Morning,one,Evening,Chennai,Economy,8.58,39,6024
33344,Indigo,6E-2147,Delhi,Night,zero,Night,Hyderabad,Economy,2.25,36,3433
285530,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Chennai,Business,7.0,6,41314
50350,SpiceJet,SG-8158,Mumbai,Evening,zero,Night,Delhi,Economy,2.42,38,2614
39128,Indigo,6E-6187,Delhi,Afternoon,one,Night,Chennai,Economy,6.42,26,5525
119695,Indigo,6E-224,Kolkata,Night,zero,Night,Delhi,Economy,2.5,1,7434
286678,Air_India,AI-543,Hyderabad,Morning,one,Afternoon,Chennai,Business,25.33,30,51595
222295,Vistara,UK-839,Delhi,Afternoon,zero,Evening,Chennai,Business,2.83,9,27864
98309,Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,Economy,14.08,25,7212
172591,GO_FIRST,G8-509,Hyderabad,Early_Morning,one,Evening,Kolkata,Economy,11.25,19,4613
195106,Vistara,UK-826,Chennai,Afternoon,one,Night,Bangalore,Economy,10.33,19,4755
82020,Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Chennai,Economy,10.33,35,4663
57624,Vistara,UK-960,Mumbai,Morning,one,Evening,Bangalore,Economy,6.92,28,6450
230372,Vistara,UK-994,Mumbai,Morning,one,Evening,Bangalore,Business,6.58,6,66928
115117,Vistara,UK-854,Bangalore,Evening,one,Early_Morning,Hyderabad,Economy,13.42,46,5322
108448,Vistara,UK-866,Bangalore,Night,one,Morning,Kolkata,Economy,12.0,41,6271
115965,Vistara,UK-846,Bangalore,Morning,one,Morning,Chennai,Economy,24.33,7,9420
270232,Air_India,AI-732,Kolkata,Afternoon,one,Evening,Bangalore,Business,29.5,49,52287
199346,Vistara,UK-836,Chennai,Morning,one,Evening,Kolkata,Economy,7.33,17,13122
180631,Vistara,UK-822,Chennai,Morning,one,Morning,Delhi,Economy,23.33,3,17223
225831,Vistara,UK-821,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,6.75,10,51372
109314,Vistara,UK-852,Bangalore,Morning,one,Evening,Kolkata,Economy,10.42,47,6271
243696,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Chennai,Business,8.83,32,64173
168195,Vistara,UK-830,Hyderabad,Morning,two_or_more,Night,Bangalore,Economy,10.08,27,6776
282515,Vistara,UK-830,Hyderabad,Morning,one,Night,Bangalore,Business,13.0,41,56702
202601,Air_India,AI-672,Chennai,Afternoon,one,Morning,Kolkata,Economy,17.92,49,4629
240400,Air_India,AI-657,Mumbai,Early_Morning,one,Afternoon,Hyderabad,Business,8.42,35,29764
17415,Indigo,6E-2005,Delhi,Morning,one,Evening,Bangalore,Economy,8.83,37,4168
119964,Vistara,UK-774,Kolkata,Night,one,Morning,Delhi,Economy,11.5,4,13524
284911,Vistara,UK-890,Hyderabad,Evening,one,Evening,Kolkata,Business,25.92,40,53499
277541,Air_India,AI-543,Hyderabad,Morning,one,Night,Mumbai,Business,10.83,7,45883
230518,Air_India,AI-442,Mumbai,Afternoon,one,Late_Night,Bangalore,Business,8.58,8,54608
194465,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Bangalore,Economy,10.75,11,9105
122812,Air_India,AI-729,Kolkata,Morning,one,Night,Delhi,Economy,12.25,22,5093
43964,Air_India,AI-627,Mumbai,Early_Morning,one,Morning,Delhi,Economy,5.33,7,10143
201106,Indigo,6E-5394,Chennai,Early_Morning,one,Afternoon,Kolkata,Economy,8.5,34,5924
160347,Air_India,AI-9885,Hyderabad,Morning,one,Afternoon,Mumbai,Economy,26.08,15,10857
49725,Indigo,6E-416,Mumbai,Evening,zero,Evening,Delhi,Economy,2.08,35,3108
235264,Air_India,AI-660,Mumbai,Evening,one,Morning,Kolkata,Business,15.0,16,49725
79747,Vistara,UK-970,Mumbai,Morning,one,Night,Chennai,Economy,11.5,19,5768
292853,Air_India,AI-539,Chennai,Evening,one,Evening,Mumbai,Business,27.0,40,61649
29884,Vistara,UK-975,Delhi,Early_Morning,one,Night,Hyderabad,Economy,15.17,11,9840
117667,Vistara,UK-846,Bangalore,Morning,one,Night,Chennai,Economy,14.58,27,4672
239822,Air_India,AI-867,Mumbai,Night,one,Morning,Hyderabad,Business,14.42,27,45693
172033,Vistara,UK-880,Hyderabad,Afternoon,one,Morning,Kolkata,Economy,19.17,14,10069
26157,GO_FIRST,G8-334,Delhi,Early_Morning,one,Evening,Kolkata,Economy,9.5,35,6395
200915,GO_FIRST,G8-305,Chennai,Morning,one,Afternoon,Kolkata,Economy,5.42,32,9792
290365,Air_India,AI-539,Chennai,Evening,one,Evening,Mumbai,Business,27.0,2,56943
177224,AirAsia,I5-510,Hyderabad,Early_Morning,zero,Morning,Chennai,Economy,1.25,14,4454
29673,Air_India,AI-803,Delhi,Early_Morning,one,Early_Morning,Hyderabad,Economy,25.67,9,11310
97762,GO_FIRST,G8-385,Bangalore,Early_Morning,zero,Early_Morning,Mumbai,Economy,1.58,23,2201
115165,Air_India,AI-808,Bangalore,Night,one,Morning,Hyderabad,Economy,14.92,46,6200
247285,Vistara,UK-864,Bangalore,Evening,one,Morning,Delhi,Business,16.0,32,57081
210947,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Business,11.17,40,53164
170391,Indigo,6E-6216,Hyderabad,Night,one,Early_Morning,Bangalore,Economy,9.42,47,1755
248033,Air_India,AI-808,Bangalore,Night,zero,Night,Delhi,Business,2.92,42,32923
242560,Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Chennai,Business,11.92,17,49613
91632,GO_FIRST,G8-118,Bangalore,Night,zero,Late_Night,Delhi,Economy,2.92,38,4500
252165,Vistara,UK-866,Bangalore,Night,zero,Night,Mumbai,Business,1.75,42,20760
38409,Vistara,UK-943,Delhi,Early_Morning,one,Night,Chennai,Economy,15.58,22,5622
46322,Indigo,6E-5017,Mumbai,Morning,zero,Afternoon,Delhi,Economy,2.17,19,3108
97623,Vistara,UK-897,Bangalore,Early_Morning,one,Morning,Mumbai,Economy,26.08,22,4792
59940,Indigo,6E-5375,Mumbai,Evening,one,Night,Bangalore,Economy,5.58,41,2124
277091,Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Business,14.5,46,59827
277290,Vistara,UK-876,Hyderabad,Night,zero,Night,Mumbai,Business,1.42,3,21669
245138,Air_India,AI-640,Bangalore,Early_Morning,one,Evening,Delhi,Business,12.58,6,42521
205862,Indigo,6E-7261,Chennai,Afternoon,one,Evening,Hyderabad,Economy,5.0,40,3688
4095,Air_India,AI-542,Delhi,Morning,one,Morning,Mumbai,Economy,23.92,22,3831
67489,Indigo,6E-2077,Mumbai,Afternoon,one,Night,Kolkata,Economy,7.25,34,6217
167011,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Bangalore,Economy,6.33,17,4892
208643,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Business,2.33,20,36712
3466,Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.0,19,4674
24567,GO_FIRST,G8-530,Delhi,Early_Morning,one,Evening,Kolkata,Economy,10.5,26,6395
29831,Indigo,6E-967,Delhi,Evening,zero,Evening,Hyderabad,Economy,2.25,11,5955
238816,Vistara,UK-950,Mumbai,Night,one,Evening,Hyderabad,Business,19.08,13,58125
115874,AirAsia,I5-1228,Bangalore,Early_Morning,zero,Morning,Chennai,Economy,1.0,6,3919
100579,GO_FIRST,G8-395,Bangalore,Morning,zero,Morning,Mumbai,Economy,1.67,38,2201
130301,AirAsia,I5-547,Kolkata,Evening,one,Early_Morning,Mumbai,Economy,10.58,20,3727
221956,Vistara,UK-953,Delhi,Night,one,Morning,Chennai,Business,15.17,3,60568
92675,Indigo,6E-6067,Bangalore,Evening,one,Late_Night,Delhi,Economy,8.75,43,4071
249248,Vistara,UK-812,Bangalore,Morning,one,Evening,Mumbai,Business,6.75,9,54684
20703,Indigo,6E-2331,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,6.58,5,9373
173696,AirAsia,I5-517,Hyderabad,Morning,zero,Afternoon,Kolkata,Economy,2.08,28,2449
17809,Indigo,6E-6205,Delhi,Afternoon,one,Night,Bangalore,Economy,9.92,39,4007
53441,Air_India,AI-442,Mumbai,Afternoon,one,Morning,Bangalore,Economy,20.08,5,11617
269969,Vistara,UK-772,Kolkata,Morning,one,Night,Bangalore,Business,10.5,45,52287
189419,Air_India,AI-440,Chennai,Early_Morning,one,Evening,Mumbai,Economy,11.83,17,4672
152183,Indigo,6E-294,Kolkata,Night,zero,Late_Night,Chennai,Economy,2.25,45,2966
47204,Air_India,AI-629,Mumbai,Evening,one,Morning,Delhi,Economy,15.25,23,4799
280424,Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,9.75,4,56590
164885,Indigo,6E-905,Hyderabad,Afternoon,one,Evening,Mumbai,Economy,6.92,44,5604
244035,Vistara,UK-928,Mumbai,Early_Morning,one,Night,Chennai,Business,16.25,37,57453
253799,Vistara,UK-866,Bangalore,Night,one,Evening,Kolkata,Business,22.25,17,51817
107745,Vistara,UK-818,Bangalore,Evening,one,Morning,Kolkata,Economy,12.92,36,8112
256242,Air_India,AI-808,Bangalore,Night,one,Evening,Hyderabad,Business,22.33,6,56476
95163,AirAsia,I5-1561,Bangalore,Evening,zero,Night,Mumbai,Economy,1.75,9,5179
124539,Indigo,6E-6488,Kolkata,Morning,one,Evening,Delhi,Economy,6.92,32,4439
228810,Vistara,UK-863,Mumbai,Morning,one,Night,Delhi,Business,13.33,38,53152
66216,AirAsia,I5-330,Mumbai,Night,one,Early_Morning,Kolkata,Economy,8.25,28,2836
52135,Vistara,UK-877,Mumbai,Morning,one,Evening,Delhi,Economy,9.25,46,5232
30070,Vistara,UK-706,Delhi,Afternoon,two_or_more,Night,Hyderabad,Economy,31.25,12,13927
259687,Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Chennai,Business,9.33,19,60396
79326,Vistara,UK-996,Mumbai,Evening,one,Evening,Chennai,Economy,21.83,16,10264
101137,Indigo,6E-5399,Bangalore,Afternoon,zero,Afternoon,Mumbai,Economy,1.83,41,2201
139184,Air_India,AI-424,Kolkata,Afternoon,one,Afternoon,Bangalore,Economy,23.0,27,7053
